gsn,drugname,strength,dosetype, price 
016133,SUCRALFATE,1 G/10 ML,ORAL SUSP, $0.30 
016173,SALICYLIC ACID,3 %,SHAMPOO, $0.03 
016248,CYANOCOBALAMIN (VITAMIN B-12),2500 MCG,TAB SUBL, $0.13 
016255,FLUTICASONE PROPIONATE,0.005 %,OINT. (G), $0.88 
016266,HYDROCORTISONE/ALOE VERA,1 %,CREAM (G), $0.07 
016268,BENZOCAINE,20 %,LIQUID, $0.40 
016278,CARBOXYMETHYLCELLULOSE SODIUM,0.5 %,DROPS, $0.50 
016292,MULTIVIT WITH MINERALS/HERBS,,CAPSULE, $0.08 
016295,FELODIPINE,5 MG,TAB ER 24H, $0.14 
016296,FELODIPINE,10 MG,TAB ER 24H, $0.16 
016304,"FOLIC ACID/MV,TX IRON,MIN",0.8 MG,TABLET, $0.08 
016307,"PETROLATUM,WHITE",41 %,OINT. (G), $0.02 
016310,LOVASTATIN,10 MG,TABLET, $0.06 
016311,INSULIN NPH HUM/REG INSULIN HM,70-30/ML,VIAL, $15.94 
016337,SALICYLIC ACID,40 %,ADH. PATCH, $0.51 
016348,FOSCARNET SODIUM,24 MG/ML,INFUS. BTL, $1.07 
016360,MULTIVITAMIN/ZINC GLUCONATE,,TAB CHEW, $0.08 
016363,LORAZEPAM,2 MG/ML,ORAL CONC, $0.71 
016366,PRAVASTATIN SODIUM,10 MG,TABLET, $0.08 
016367,PRAVASTATIN SODIUM,20 MG,TABLET, $0.08 
016368,CLARITHROMYCIN,500 MG,TABLET, $0.76 
016373,CLARITHROMYCIN,250 MG,TABLET, $1.56 
016392,ONDANSETRON HCL,4 MG,TABLET, $0.09 
016393,ONDANSETRON HCL,8 MG,TABLET, $0.14 
016404,KETOROLAC TROMETHAMINE,10 MG,TABLET, $0.80 
016408,ACYCLOVIR,400 MG,TABLET, $0.13 
016414,GUAIFENESIN/DEXTROMETHORPHAN,100-10MG/5,SYRUP, $0.02 
016424,DILTIAZEM HCL,5 MG/ML,VIAL, $0.39 
016425,NICOTINE,7MG/24HR,PATCH TD24, $1.44 
016426,NICOTINE,14MG/24HR,PATCH TD24, $1.44 
016427,NICOTINE,21 MG/24HR,PATCH TD24, $1.44 
016441,METFORMIN HCL,850 MG,TABLET, $0.03 
016500,IFOSFAMIDE,1 G,VIAL, $34.31 
016522,MORPHINE SULFATE,200 MG,TABLET ER, $2.82 
016551,FLUDARABINE PHOSPHATE,50 MG,VIAL, $161.15 
016570,DILTIAZEM HCL,180 MG,CAP ER 24H, $0.26 
016571,DILTIAZEM HCL,240 MG,CAP ER 24H, $0.32 
016572,DILTIAZEM HCL,300 MG,CAP ER 24H, $0.36 
016574,NABUMETONE,500 MG,TABLET, $0.29 
016575,NABUMETONE,750 MG,TABLET, $0.30 
016576,SIMVASTATIN,5 MG,TABLET, $0.03 
016577,SIMVASTATIN,10 MG,TABLET, $0.03 
016578,SIMVASTATIN,20 MG,TABLET, $0.04 
016579,SIMVASTATIN,40 MG,TABLET, $0.05 
016582,CEFPROZIL,125 MG/5ML,SUSP RECON, $0.22 
016583,CEFPROZIL,250 MG/5ML,SUSP RECON, $0.36 
016584,CEFPROZIL,250 MG,TABLET, $1.46 
016585,CEFPROZIL,500 MG,TABLET, $1.53 
016587,OCTREOTIDE ACETATE,200 MCG/ML,VIAL, $8.31 
016588,OCTREOTIDE ACETATE,1000MCG/ML,VIAL, $28.70 
016593,FLUMAZENIL,0.1 MG/ML,VIAL, $1.40 
016598,NITROFURANTOIN MONOHYD/M-CRYST,100 MG,CAPSULE, $0.37 
016599,METOPROLOL SUCCINATE,50 MG,TAB ER 24H, $0.04 
016600,METOPROLOL SUCCINATE,100 MG,TAB ER 24H, $0.09 
016601,METOPROLOL SUCCINATE,200 MG,TAB ER 24H, $0.16 
016605,VERAPAMIL HCL,180 MG,CAP24H PEL, $1.84 
016619,VECURONIUM BROMIDE,20 MG,VIAL, $6.17 
016650,DESONIDE,0.05 %,LOTION, $0.36 
016674,BUTORPHANOL TARTRATE,10 MG/ML,SPRAY, $20.07 
016675,DIPHENHYDRAMINE HCL,12.5MG/5ML,LIQUID, $0.20 
016700,"AMINO ACIDS/MV,IRON,MIN",,CAPSULE, $0.08 
016767,ESTRADIOL,.025MG/24H,PATCH TDSW, $8.85 
016770,OXACILLIN IN DEXTROSE(ISO-OSM),2 G/50 ML,FROZ.PIGGY, $0.36 
016773,CARBAMAZEPINE,200 MG,TAB ER 12H, $0.52 
016815,DOXYCYCLINE MONOHYDRATE,50 MG,CAPSULE, $0.42 
016828,PHENAZOPYRIDINE HCL,95 MG,TABLET, $0.07 
016831,COLLOIDAL OATMEAL,1 %,CREAM (G), $0.08 
016847,HYDROMORPHONE HCL/PF,10 MG/ML,VIAL, $1.58 
016849,DILTIAZEM HCL,180 MG,CAP ER DEG, $0.69 
016850,DILTIAZEM HCL,240 MG,CAP ER DEG, $0.88 
016878,EPINEPHRINE,0.15MG/0.3,AUTO INJCT, $146.06 
016879,EPINEPHRINE,0.3MG/0.3,AUTO INJCT, $143.18 
016884,POVIDONE-IODINE,7.5 %,SOLUTION, $0.01 
016901,BIOTIN,5 MG,CAPSULE, $0.03 
016924,CLINDAMYCIN PHOSPHATE,2 %,CREAM/APPL, $2.45 
016925,AMLODIPINE BESYLATE,2.5 MG,TABLET, $0.02 
016926,AMLODIPINE BESYLATE,5 MG,TABLET, $0.02 
016927,AMLODIPINE BESYLATE,10 MG,TABLET, $0.02 
016929,CEFPODOXIME PROXETIL,50 MG/5 ML,SUSP RECON, $0.58 
016930,CEFPODOXIME PROXETIL,100 MG/5ML,SUSP RECON, $1.10 
016931,CEFPODOXIME PROXETIL,100 MG,TABLET, $3.02 
016932,CEFPODOXIME PROXETIL,200 MG,TABLET, $3.13 
016937,PSEUDOEPHEDRINE HCL,120 MG,TABLET ER, $0.17 
016939,METRONIDAZOLE,0.75 %,GEL W/APPL, $0.35 
016941,"VIT B-COMP W-FE,CA,FA<1MG",,SYRUP, $0.08 
016947,ACETAMINOPHEN,160 MG/5ML,ORAL SUSP, $0.01 
016949,ITRACONAZOLE,100 MG,CAPSULE, $1.00 
016963,NORGESTIMATE-ETHINYL ESTRADIOL,7DAYSX3 28,TABLET, $0.15 
016981,THIAMINE MONONITRATE (VIT B1),100 MG,TABLET, $0.02 
016995,ASPIRIN,81 MG,TABLET DR, $0.01 
016996,SALICYLIC ACID,17 %,KIT, $12.17 
017000,POTASSIUM CITRATE,10 MEQ,TABLET ER, $0.35 
017026,CLOBAZAM,10 MG,TABLET, $0.78 
017037,CETIRIZINE HCL,10 MG,TABLET, $0.04 
017051,MILRINONE LACTATE,1 MG/ML,VIAL, $0.35 
017067,ALUMINUM HYDROXIDE,0.275 %,OINT. (G), $0.23 
017103,MULTIVIT WITH MINERALS/HERBS,,TABLET, $0.08 
017117,MIDODRINE HCL,5 MG,TABLET, $0.12 
017118,MIDODRINE HCL,2.5 MG,TABLET, $0.08 
017129,SUMATRIPTAN SUCCINATE,100 MG,TABLET, $0.74 
017135,CHOLECALCIFEROL (VITAMIN D3),250 MCG,TABLET, $0.81 
017181,LORATADINE/PSEUDOEPHEDRINE,5 MG-120MG,TAB ER 12H, $0.94 
017195,SOTALOL HCL,240 MG,TABLET, $0.31 
017196,SOTALOL HCL,80 MG,TABLET, $0.15 
017204,OXAPROZIN,600 MG,TABLET, $1.05 
017205,DILTIAZEM HCL,120 MG,CAP ER DEG, $0.64 
017241,AMIODARONE HCL,100 MG,TABLET, $1.27 
017266,LISINOPRIL,2.5 MG,TABLET, $0.01 
017297,ISOSORBIDE MONONITRATE,60 MG,TAB ER 24H, $0.16 
017584,MEDROXYPROGESTERONE ACETATE,150 MG/ML,VIAL, $22.24 
017616,DESOGESTREL-ETHINYL ESTRADIOL,0.15-0.03,TABLET, $0.19 
017750,TETRABENAZINE,25 MG,TABLET, $5.00 
017869,VIGABATRIN,500 MG,POWD PACK, $87.64 
017870,VIGABATRIN,500 MG,TABLET, $64.65 
017871,LAMOTRIGINE,100 MG,TABLET, $0.05 
017872,LAMOTRIGINE,25 MG,TABLET, $0.04 
017876,CARBAMAZEPINE,400 MG,TAB ER 12H, $0.79 
017955,BISOPROLOL FUMARATE,10 MG,TABLET, $0.33 
017956,BISOPROLOL FUMARATE,5 MG,TABLET, $0.33 
018080,WARFARIN SODIUM,3 MG,TABLET, $0.13 
018165,BUDESONIDE,1 MG/2 ML,AMPUL-NEB, $5.05 
018273,TERBINAFINE HCL,1 %,CREAM (G), $0.56 
018275,HYDROCORTISONE BUTYRATE,0.1 %,LOTION, $2.54 
018288,CLOBETASOL PROPIONATE,0.05 %,LOTION, $1.03 
018293,DICLOFENAC SODIUM,1 %,GEL (GRAM), $0.13 
018315,ACYCLOVIR,5 %,CREAM (G), $31.09 
018322,BACITRACIN ZINC/POLYMYXIN B,500-10K/G,OINT. (G), $0.32 
018368,FLUTICASONE PROPIONATE,50 MCG,SPRAY SUSP, $0.49 
018435,NAPROXEN,375 MG,TABLET DR, $0.29 
018436,NAPROXEN,500 MG,TABLET DR, $1.31 
018470,STARCH,,POWDER, $0.03 
018544,AZITHROMYCIN,200 MG/5ML,SUSP RECON, $0.23 
018636,FLUCONAZOLE,40 MG/ML,SUSP RECON, $0.88 
018637,FLUCONAZOLE,10 MG/ML,SUSP RECON, $0.41 
018638,TERBINAFINE HCL,250 MG,TABLET, $0.20 
018697,LORATADINE,5 MG/5 ML,SOLUTION, $0.07 
018698,LORATADINE,10 MG,TABLET, $0.03 
018739,"ANTIHEMOPHILIC FACTOR, HUM REC",250 (+/-),VIAL, $1.24 
018740,"ANTIHEMOPHILIC FACTOR, HUM REC",1000 (+/-),VIAL, $1.24 
018741,"ANTIHEMOPHILIC FACTOR, HUM REC",500 (+/-),VIAL, $1.24 
018766,RIFABUTIN,150 MG,CAPSULE, $7.37 
018773,QUINAPRIL HCL,20 MG,TABLET, $0.82 
018774,QUINAPRIL HCL,5 MG,TABLET, $0.82 
019048,TINIDAZOLE,500 MG,TABLET, $1.61 
019067,KETOROLAC TROMETHAMINE,0.5 %,DROPS, $2.21 
019110,"FLUCONAZOLE IN DEXTROSE,ISO-OS",200MG/0.1L,PIGGYBACK, $0.11 
019111,"FLUCONAZOLE IN DEXTROSE,ISO-OS",400MG/0.2L,PIGGYBACK, $0.08 
019112,IOPAMIDOL,250 MG/ML,VIAL, $0.57 
019113,LOFEXIDINE HCL,0.18 MG,TABLET, $10.07 
019140,QUINAPRIL/HYDROCHLOROTHIAZIDE,10-12.5 MG,TABLET, $0.56 
019141,ACITRETIN,10 MG,CAPSULE, $5.09 
019142,ACITRETIN,25 MG,CAPSULE, $5.92 
019160,CALCIPOTRIENE,0.005 %,OINT. (G), $3.07 
019164,BROMELAINS,500 MG,TABLET, $0.21 
019166,CHOLECALCIFEROL (VITAMIN D3),10 MCG,TABLET, $0.02 
019167,"BETA-CAROTENE(A)-VITS C,E/MINS",,CAPSULE, $0.08 
019181,CLADRIBINE,10 MG/10ML,VIAL, $34.08 
019182,TEMAZEPAM,7.5 MG,CAPSULE, $2.54 
019187,ZOLPIDEM TARTRATE,5 MG,TABLET, $0.04 
019188,ZOLPIDEM TARTRATE,10 MG,TABLET, $0.04 
019192,SUMATRIPTAN SUCCINATE,6 MG/0.5ML,PEN INJCTR, $94.51 
019193,SUMATRIPTAN SUCCINATE,6 MG/0.5ML,VIAL, $8.04 
019196,MELPHALAN HCL,50 MG,VIAL, $135.22 
019239,SUMATRIPTAN SUCCINATE,6 MG/0.5ML,CARTRIDGE, $94.54 
019240,BIOTIN,10 MG,TABLET, $0.14 
019283,ALBENDAZOLE,200 MG,TABLET, $12.74 
019293,CARVEDILOL,25 MG,TABLET, $0.03 
019331,ENOXAPARIN SODIUM,30MG/0.3ML,SYRINGE, $8.47 
019412,INDAPAMIDE,1.25 MG,TABLET, $0.33 
019432,CALCITRIOL,1 MCG/ML,SOLUTION, $7.58 
019486,WARFARIN SODIUM,4 MG,TABLET, $0.14 
019528,SYRINGE DISPOSABLE IRRIGATION,,DISP SYRIN, $0.05 
019529,SYRINGE ACCESSORY,,EACH, $0.04 
019563,CARBIDOPA/LEVODOPA,25MG-100MG,TABLET ER, $0.26 
019596,DESMOPRESSIN ACETATE,0.1 MG,TABLET, $0.71 
019597,DESMOPRESSIN ACETATE,0.2 MG,TABLET, $0.61 
019652,NITROPRUSSIDE SODIUM,25 MG/ML,VIAL, $7.08 
019663,MAGNESIUM CARB/ALUMINUM HYDROX,105-160MG,TAB CHEW, $0.11 
019734,OFLOXACIN,0.3 %,DROPS, $2.42 
019751,PROPAFENONE HCL,225 MG,TABLET, $0.32 
019808,METOPROLOL TARTRATE,5 MG/5 ML,VIAL, $0.21 
019964,SENNOSIDES,8.6 MG,TABLET, $0.02 
020040,FELBAMATE,600 MG/5ML,ORAL SUSP, $0.57 
020041,FELBAMATE,400 MG,TABLET, $1.19 
020042,FELBAMATE,600 MG,TABLET, $1.63 
020175,ETODOLAC,400 MG,TABLET, $0.58 
020176,LEVOTHYROXINE SODIUM,137 MCG,TABLET, $0.09 
020181,ACETAMINOPHEN/PYRILAMINE/CAFF,500-15-60,TABLET, $0.13 
020241,ACARBOSE,100 MG,TABLET, $0.38 
020242,ACARBOSE,50 MG,TABLET, $0.28 
020279,DICLOFENAC SODIUM/MISOPROSTOL,50 MG-200,TAB IR DR, $1.84 
020493,AMOXICILLIN,500 MG,TABLET, $0.22 
020611,VANCOMYCIN HCL IN 5 % DEXTROSE,500MG/0.1L,FROZ.PIGGY, $0.08 
020616,NIFEDIPINE,30 MG,TAB ER 24, $0.19 
020617,NIFEDIPINE,60 MG,TAB ER 24, $0.22 
020618,NIFEDIPINE,90 MG,TAB ER 24, $0.39 
020647,CLOBAZAM,20 MG,TABLET, $1.48 
020741,PRAVASTATIN SODIUM,40 MG,TABLET, $0.10 
020987,RIMANTADINE HCL,100 MG,TABLET, $1.76 
021002,MICONAZOLE NITRATE,2 %,TINCTURE, $0.36 
021004,MEGESTROL ACETATE,400MG/10ML,ORAL SUSP, $0.19 
021108,TRETINOIN,0.05 %,GEL (GRAM), $5.22 
021134,CALCIPOTRIENE,0.005 %,CREAM (G), $1.47 
021139,BISOPROLOL/HYDROCHLOROTHIAZIDE,2.5-6.25MG,TABLET, $0.16 
021140,BISOPROLOL/HYDROCHLOROTHIAZIDE,5-6.25MG,TABLET, $0.16 
021141,BISOPROLOL/HYDROCHLOROTHIAZIDE,10-6.25 MG,TABLET, $0.15 
021154,RISPERIDONE,1 MG,TABLET, $0.08 
021155,RISPERIDONE,2 MG,TABLET, $0.05 
021156,RISPERIDONE,3 MG,TABLET, $0.10 
021157,RISPERIDONE,4 MG,TABLET, $0.15 
021185,PIPERACILLIN SODIUM/TAZOBACTAM,2.25 G,VIAL, $3.68 
021186,PIPERACILLIN SODIUM/TAZOBACTAM,3.375 G,VIAL, $3.76 
021187,PIPERACILLIN SODIUM/TAZOBACTAM,4.5 G,VIAL, $5.75 
021198,MAGNESIUM SALICYLATE,580(467)MG,TABLET, $0.31 
021205,ERYTHROMYCIN ETHYLSUCCINATE,200 MG/5ML,SUSP RECON, $2.16 
021206,ERYTHROMYCIN ETHYLSUCCINATE,400 MG/5ML,SUSP RECON, $3.50 
021251,FLUTICASONE PROPIONATE,110 MCG,AER W/ADAP, $15.32 
021277,LISINOPRIL/HYDROCHLOROTHIAZIDE,10-12.5 MG,TABLET, $0.05 
021282,DILTIAZEM HCL,120 MG,CAP ER 24H, $0.23 
021373,ETODOLAC,600 MG,TAB ER 24H, $2.00 
021380,DICLOFENAC POTASSIUM,50 MG,TABLET, $0.39 
021397,CYTARABINE/PF,2 G/20 ML,VIAL, $1.09 
021400,TIMOLOL MALEATE,0.25 %,SOL-GEL, $31.05 
021401,TIMOLOL MALEATE,0.5 %,SOL-GEL, $8.19 
021406,TORSEMIDE,5 MG,TABLET, $0.14 
021407,TORSEMIDE,10 MG,TABLET, $0.09 
021408,TORSEMIDE,20 MG,TABLET, $0.10 
021409,TORSEMIDE,100 MG,TABLET, $0.38 
021411,ESTRADIOL,0.5 MG,TABLET, $0.12 
021413,GABAPENTIN,100 MG,CAPSULE, $0.01 
021414,GABAPENTIN,300 MG,CAPSULE, $0.01 
021415,GABAPENTIN,400 MG,CAPSULE, $0.02 
021440,HYPROMELLOSE,,POWDER, $0.09 
021448,HYDROXYPROPYL CELLULOSE,,POWDER, $0.74 
021503,DOBUTAMINE HCL IN DEXTROSE 5 %,500MG/250,IV SOLN, $0.19 
021504,DOBUTAMINE HCL IN DEXTROSE 5 %,1000MG/250,IV SOLN, $0.19 
021592,GRANISETRON HCL,1 MG,TABLET, $1.37 
021600,NICARDIPINE HCL,25 MG/10ML,AMPUL, $2.23 
021663,FAT EMULSIONS,30 %,EMULSION, $0.05 
021687,CETIRIZINE HCL,1 MG/ML,SOLUTION, $0.04 
021688,FAMOTIDINE,10 MG,TABLET, $0.08 
021692,VITAMIN A PALMITATE,3000 MCG,CAPSULE, $0.02 
021693,GRANISETRON HCL,1 MG/ML,VIAL, $8.47 
021694,FLUVASTATIN SODIUM,20 MG,CAPSULE, $3.40 
021695,FLUVASTATIN SODIUM,40 MG,CAPSULE, $3.40 
021700,IPRATROPIUM BROMIDE,0.2 MG/ML,SOLUTION, $0.09 
021705,PIPERACILLIN SODIUM/TAZOBACTAM,40.5 G,VIAL, $45.40 
021709,MULTIVITAMIN/ZINC SULFATE/SEL,,TABLET, $0.08 
021710,MULTIVITAMIN/ZINC SULFATE,,TABLET, $0.08 
021715,DOXEPIN HCL,5 %,CREAM (G), $9.79 
021718,TRIAMTERENE/HYDROCHLOROTHIAZID,37.5-25 MG,CAPSULE, $0.13 
021723,BENAZEPRIL/HYDROCHLOROTHIAZIDE,5-6.25MG,TABLET, $1.09 
021724,BENAZEPRIL/HYDROCHLOROTHIAZIDE,10-12.5 MG,TABLET, $0.55 
021725,BENAZEPRIL/HYDROCHLOROTHIAZIDE,20-12.5 MG,TABLET, $0.49 
021726,BENAZEPRIL/HYDROCHLOROTHIAZIDE,20 MG-25MG,TABLET, $0.51 
021727,ROCURONIUM BROMIDE,10 MG/ML,VIAL, $0.63 
021731,PILOCARPINE HCL,5 MG,TABLET, $0.37 
021734,UNDECYLENIC ACID,25 %,SOLUTION, $2.97 
021742,ALPROSTADIL,20 MCG,KIT, $94.49 
021743,FELODIPINE,2.5 MG,TAB ER 24H, $0.20 
021776,MESALAMINE,1000 MG,SUPP.RECT, $3.51 
021796,TACROLIMUS,1 MG,CAPSULE, $0.34 
021797,TACROLIMUS,5 MG,CAPSULE, $1.74 
021839,GLIPIZIDE,10 MG,TAB ER 24, $0.26 
021840,GLIPIZIDE,5 MG,TAB ER 24, $0.12 
021871,FOSFOMYCIN TROMETHAMINE,3 G,PACKET, $60.60 
021876,FAMCICLOVIR,250 MG,TABLET, $0.75 
021902,"MULTIVIT WITH IRON,MINERALS",,TAB CHEW, $0.08 
021904,CLOBETASOL PROPIONATE,0.05 %,GEL (GRAM), $0.53 
021934,LAMOTRIGINE,25 MG,TB CHW DSP, $0.30 
021935,LAMOTRIGINE,5 MG,TB CHW DSP, $0.37 
021980,NAPROXEN SODIUM,220 MG,TABLET, $0.05 
021986,CLOBETASOL PROPIONATE/EMOLL,0.05 %,CREAM (G), $1.06 
021995,FAMCICLOVIR,500 MG,TABLET, $1.19 
021999,BIOTIN,1 MG,TABLET, $0.07 
022123,ACETAMINOPHEN,650 MG,TABLET ER, $0.05 
022126,DIMETHICONE,1 %,CREAM (G), $0.06 
022127,GLUCOSAMINE SULFATE,500 MG,CAPSULE, $0.04 
022137,AMPICILLIN SOD/SULBACTAM SOD,15 G,VIAL, $21.71 
022140,CLINDAMYCIN PHOSPHATE,1 %,MED. SWAB, $0.41 
022141,FLUCONAZOLE,150 MG,TABLET, $1.29 
022210,GUAIFENESIN,100 MG/5ML,LIQUID, $0.04 
022233,CARVEDILOL,12.5 MG,TABLET, $0.03 
022319,STEARIC ACID,,POWDER, $0.04 
022344,COLESTIPOL HCL,1 G,TABLET, $0.84 
022345,POTASSIUM CHLORIDE,10 MEQ,TAB ER PRT, $0.13 
022346,POTASSIUM CHLORIDE,20 MEQ,TAB ER PRT, $0.17 
022358,FENTANYL CITRATE,200 MCG,LOZENGE HD, $10.82 
022360,FENTANYL CITRATE,400 MCG,LOZENGE HD, $8.10 
022459,NIACINAMIDE,500 MG,TABLET ER, $0.09 
022479,SUMATRIPTAN SUCCINATE,50 MG,TABLET, $0.59 
022504,"BETA-CAROTENE(A)-VITS C,E/MINS",,TABLET ER, $0.08 
022530,IBUPROFEN,100 MG,TAB CHEW, $0.16 
022534,"GLY/DIMETH/PETROLAT,WHT/WATER",,CREAM (G), $0.06 
022550,LAMOTRIGINE,150 MG,TABLET, $0.10 
022551,LAMOTRIGINE,200 MG,TABLET, $0.08 
022552,VINORELBINE TARTRATE,10 MG/ML,VIAL, $11.88 
022624,AZITHROMYCIN,500 MG,TABLET, $0.50 
022633,"MV,IRON,MIN/PROTEIN SUPPLEMENT",,BAR, $0.08 
022649,TERAZOSIN HCL,1 MG,CAPSULE, $0.18 
022650,TERAZOSIN HCL,2 MG,CAPSULE, $0.15 
022651,TERAZOSIN HCL,5 MG,CAPSULE, $0.14 
022652,TERAZOSIN HCL,10 MG,CAPSULE, $0.13 
022666,PARAFFIN,,WAX, $0.17 
022690,WATER,,LIQUID, $0.03 
022707,"BETA-CAROTENE(A)-VITS C,E/MINS",,TABLET, $0.08 
022735,GLYBURIDE/METFORMIN HCL,2.5-500 MG,TABLET, $0.32 
022813,CAPSAICIN,0.025 %,ADH. PATCH, $1.60 
023139,TRAMADOL HCL,50 MG,TABLET, $0.03 
023143,BACITRACIN ZINC,500 UNIT/G,OINT. (G), $0.04 
023160,BISMUTH SUBSALICYLATE,262 MG,TABLET, $0.20 
023161,SKIN CLEANSER,,CLEANSER, $0.00 
023270,ESTRADIOL,.075MG/24H,PATCH TDSW, $7.76 
023352,BUTYLATED HYDROXYTOLUENE,,GRANULES, $0.21 
023381,LOSARTAN POTASSIUM,25 MG,TABLET, $0.02 
023382,LOSARTAN POTASSIUM,50 MG,TABLET, $0.03 
023399,ATOVAQUONE,750 MG/5ML,ORAL SUSP, $1.14 
023441,RANITIDINE HCL,75 MG,TABLET, $0.07 
023447,LIDOCAINE,4 %,ADH. PATCH, $0.79 
023465,LOSARTAN/HYDROCHLOROTHIAZIDE,50-12.5 MG,TABLET, $0.04 
023471,ESTRADIOL,0.1MG/24HR,PATCH TDWK, $12.15 
023472,ESTRADIOL,0.05MG/24H,PATCH TDWK, $13.14 
023474,ISOSORBIDE MONONITRATE,120 MG,TAB ER 24H, $0.43 
023508,LACTULOSE,10 G,PACKET, $9.35 
023513,DORZOLAMIDE HCL,2 %,DROPS, $0.98 
023543,FAMCICLOVIR,125 MG,TABLET, $0.42 
023591,MOEXIPRIL HCL,7.5 MG,TABLET, $1.86 
023592,MOEXIPRIL HCL,15 MG,TABLET, $1.95 
023616,METRONIDAZOLE,375 MG,CAPSULE, $11.27 
023635,DIPHENHYDRAMINE HCL,12.5 MG,TAB CHEW, $0.41 
023644,BENZOCAINE,15 MG,LOZENGE, $0.22 
023723,IRON/LYS/VIT B COMP/FOLIC ACID,800-1MG/15,LIQUID, $0.08 
023724,MYCOPHENOLATE MOFETIL,250 MG,CAPSULE, $0.21 
023756,MESNA,100 MG/ML,VIAL, $0.88 
023766,MENTHOL/CAMPHOR,0.5 %-0.5%,LOTION, $0.03 
023767,METHADONE HCL,40 MG,TABLET SOL, $0.33 
023768,AMLODIPINE BESYLATE/BENAZEPRIL,5 MG-20 MG,CAPSULE, $0.19 
023769,AMLODIPINE BESYLATE/BENAZEPRIL,5 MG-10 MG,CAPSULE, $0.15 
023770,AMLODIPINE BESYLATE/BENAZEPRIL,2.5MG-10MG,CAPSULE, $0.23 
023789,AZITHROMYCIN,1 G,PACKET, $15.29 
023797,ALPROSTADIL,10 MCG,KIT, $92.65 
023799,SUMATRIPTAN SUCCINATE,25 MG,TABLET, $0.45 
023800,FE GLUCONATE/B COMP/FOLIC/ZINC,,LIQUID, $0.08 
023819,"PROTECTIVES, O.U.",,MED. SWAB, $1.77 
023855,IBUPROFEN,50 MG/1.25,DROPS SUSP, $0.20 
023881,"CYCLOSPORINE, MODIFIED",100 MG,CAPSULE, $1.80 
023882,"CYCLOSPORINE, MODIFIED",25 MG,CAPSULE, $0.55 
023883,"CYCLOSPORINE, MODIFIED",100 MG/ML,SOLUTION, $10.68 
023885,"CYCLOSPORINE, MODIFIED",50 MG,CAPSULE, $1.55 
023893,GUAIFENESIN/DEXTROMETHORPHAN,100-5 MG/5,LIQUID, $0.04 
023896,GUAIFENESIN/DEXTROMETHORPHAN,200-10MG/5,LIQUID, $0.03 
023906,HYDROCORTISONE,2.5 %,CRM/PE APP, $0.31 
023989,VALACYCLOVIR HCL,500 MG,TABLET, $0.24 
024002,QUINAPRIL/HYDROCHLOROTHIAZIDE,20-12.5 MG,TABLET, $0.82 
024053,ALENDRONATE SODIUM,10 MG,TABLET, $0.22 
024094,CEFEPIME HCL,1 G,VIAL, $2.07 
024095,CEFEPIME HCL,2 G,VIAL, $7.18 
024097,SOTALOL HCL,120 MG,TABLET, $0.16 
024114,BIOTIN,5 MG,TABLET, $0.12 
024138,"CALCITONIN,SALMON,SYNTHETIC",200/SPRAY,SPRAY/PUMP, $14.68 
024139,LEUCINE,,POWDER, $0.50 
024150,MENTHOL,8 MG,LOZENGE, $0.13 
024153,BICALUTAMIDE,50 MG,TABLET, $0.45 
024180,SODIUM TETRADECYL SULFATE,3 %,VIAL, $32.80 
024194,AZITHROMYCIN,100 MG/5ML,SUSP RECON, $0.51 
024195,DICLOFENAC POTASSIUM,25 MG,TABLET, $20.48 
024236,STARCH,,POWD PACK, $0.41 
024333,URSODIOL,250 MG,TABLET, $0.68 
024398,ACETYLCYSTEINE,200 MG/ML,VIAL, $1.58 
024417,LAMIVUDINE,150 MG,TABLET, $6.86 
024418,LAMIVUDINE,10 MG/ML,SOLUTION, $0.38 
024447,DOXORUBICIN HCL PEG-LIPOSOMAL,2 MG/ML,VIAL, $16.63 
024456,IPRATROPIUM BROMIDE,42 MCG,SPRAY, $1.70 
024457,IPRATROPIUM BROMIDE,21 MCG,SPRAY, $0.94 
024466,TRETINOIN,10 MG,CAPSULE, $11.30 
024469,FOSINOPRIL SODIUM,40 MG,TABLET, $0.31 
024475,GUAIFENESIN/DEXTROMETHORPHAN,200-15MG/5,LIQUID, $0.06 
024478,DILTIAZEM HCL,360 MG,CAP SA 24H, $0.30 
024484,CETIRIZINE HCL,5 MG,TABLET, $0.09 
024487,IRON FUM/POTASSIUM/VITE/B12/B6,,CAPSULE, $0.08 
024488,ISOSORBIDE MONONITRATE,30 MG,TAB ER 24H, $0.09 
024507,OXYCODONE HCL,5 MG,CAPSULE, $0.88 
024508,RILUZOLE,50 MG,TABLET, $1.53 
024515,ANASTROZOLE,1 MG,TABLET, $0.16 
024537,DILTIAZEM HCL,180 MG,CAP SA 24H, $0.21 
024538,DILTIAZEM HCL,240 MG,CAP SA 24H, $1.36 
024539,DILTIAZEM HCL,300 MG,CAP SA 24H, $0.39 
024555,ESTRADIOL,.0375MG/24,PATCH TDSW, $9.31 
024613,CISATRACURIUM BESYLATE,10 MG/ML,VIAL, $5.67 
024614,CISATRACURIUM BESYLATE,2 MG/ML,VIAL, $0.94 
024652,GLYCERYL MONOSTEARATE,,POWDER, $0.51 
024665,MELATONIN,3 MG,TABLET, $0.02 
024667,NEEDLELESS DISPENSING PIN,,EACH, $2.06 
024668,AMOXICILLIN/POTASSIUM CLAV,875-125 MG,TABLET, $0.44 
